Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.33      1.47     0.01   316353     0.00     0.00  std::__detail::_Hashtable_alloc<std::allocator<std::__detail::_Hash_node<BitPieceInfo, true> > >::_M_deallocate_node(std::__detail::_Hash_node<BitPieceInfo, true>*)
  0.33      1.48     0.01   316353     0.00     0.00  std::__detail::_Hash_node_value_base<BitPieceInfo>::_Hash_node_value_base()
  0.33      1.48     0.01    25020     0.00     0.00  __gnu_cxx::new_allocator<std::__detail::_Hash_node_base*>::new_allocator()
  0.33      1.49     0.01    25020     0.00     0.00  __gnu_cxx::new_allocator<std::__detail::_Hash_node_base*>::~new_allocator()
  0.33      1.49     0.01    25020     0.00     0.00  std::__detail::_Hash_node_base** std::__addressof<std::__detail::_Hash_node_base*>(std::__detail::_Hash_node_base*&)
  0.33      1.50     0.01       20     0.25     0.25  std::bitset<200ul>::operator~() const
  0.33      1.50     0.01                             BitBoardPre::getEmptyMoveId()
  0.00      1.50     0.00  3399594     0.00     0.00  std::__detail::_Hashtable_ebo_helper<2, std::__detail::_Mod_range_hashing, true>::_S_cget(std::__detail::_Hashtable_ebo_helper<2, std::__detail::_Mod_range_hashing, true> const&)
  0.00      1.50     0.00  3254884     0.00     0.00  std::__detail::_Hash_code_base<BitPieceInfo, BitPieceInfo, std::__detail::_Identity, std::hash<BitPieceInfo>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, true>::_M_h2() const
  0.00      1.50     0.00  2798816     0.00     0.00  BitBoardPre::idToBitset(int)
  0.00      1.50     0.00  2765049     0.00     0.00  std::_Base_bitset<4ul>::_M_is_any() const
  0.00      1.50     0.00  2765049     0.00     0.00  std::bitset<200ul>::none() const
  0.00      1.50     0.00  2595118     0.00     0.00  __gnu_cxx::__normal_iterator<Coord const*, std::vector<Coord, std::allocator<Coord> > >::base() const
  0.00      1.50     0.00  2294048     0.00     0.00  __gnu_cxx::__normal_iterator<MoveDirection*, std::vector<MoveDirection, std::allocator<MoveDirection> > >::base() const
  0.00      1.50     0.00  1844195     0.00     0.00  BitPieceInfo::canMove(MoveDirection) const
  0.00      1.50     0.00  1750200     0.00     0.00  std::__detail::_Hash_code_base<BitPieceInfo, BitPieceInfo, std::__detail::_Identity, std::hash<BitPieceInfo>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, true>::_M_bucket_index(std::__detail::_Hash_node<BitPieceInfo, true> const*, unsigned long) const
  0.00      1.50     0.00  1720536     0.00     0.00  __gnu_cxx::__normal_iterator<RotateDirection*, std::vector<RotateDirection, std::allocator<RotateDirection> > >::base() const
  0.00      1.50     0.00  1571041     0.00     0.00  __gnu_cxx::__aligned_buffer<BitPieceInfo>::_M_ptr()
  0.00      1.50     0.00  1571041     0.00     0.00  std::__detail::_Hash_node_value_base<BitPieceInfo>::_M_valptr()
  0.00      1.50     0.00  1504684     0.00     0.00  std::_Hashtable<BitPieceInfo, BitPieceInfo, std::allocator<BitPieceInfo>, std::__detail::_Identity, std::equal_to<BitPieceInfo>, std::hash<BitPieceInfo>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<true, true, true> >::_M_bucket_index(BitPieceInfo const&, unsigned long) const
  0.00      1.50     0.00  1504684     0.00     0.00  std::__detail::_Hash_code_base<BitPieceInfo, BitPieceInfo, std::__detail::_Identity, std::hash<BitPieceInfo>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, true>::_M_bucket_index(BitPieceInfo const&, unsigned long, unsigned long) const
  0.00      1.50     0.00  1492237     0.00     0.00  std::hash<BitPieceInfo>::operator()(BitPieceInfo const&) const
  0.00      1.50     0.00  1492237     0.00     0.00  std::__detail::_Hash_code_base<BitPieceInfo, BitPieceInfo, std::__detail::_Identity, std::hash<BitPieceInfo>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, true>::_M_hash_code(BitPieceInfo const&) const
  0.00      1.50     0.00  1492237     0.00     0.00  std::__detail::_Hash_code_base<BitPieceInfo, BitPieceInfo, std::__detail::_Identity, std::hash<BitPieceInfo>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, true>::_M_h1() const
  0.00      1.50     0.00  1492237     0.00     0.00  std::__detail::_Hashtable_ebo_helper<1, std::hash<BitPieceInfo>, true>::_S_cget(std::__detail::_Hashtable_ebo_helper<1, std::hash<BitPieceInfo>, true> const&)
  0.00      1.50     0.00  1384507     0.00     0.00  std::_Base_bitset<4ul>::_M_hiword()
  0.00      1.50     0.00  1384507     0.00     0.00  std::bitset<200ul>::_M_do_sanitize()
  0.00      1.50     0.00  1350720     0.00     0.00  void std::fill<unsigned long*, unsigned long>(unsigned long*, unsigned long*, unsigned long const&)
  0.00      1.50     0.00  1350720     0.00     0.00  __gnu_cxx::__enable_if<std::__is_scalar<unsigned long>::__value, void>::__type std::__fill_a<unsigned long*, unsigned long>(unsigned long*, unsigned long*, unsigned long const&)
  0.00      1.50     0.00  1324403     0.00     0.00  __gnu_cxx::__normal_iterator<Coord*, std::vector<Coord, std::allocator<Coord> > >::base() const
  0.00      1.50     0.00  1305269     0.00     0.00  std::__detail::_Hashtable_ebo_helper<0, std::__detail::_Identity, true>::_S_cget(std::__detail::_Hashtable_ebo_helper<0, std::__detail::_Identity, true> const&)
  0.00      1.50     0.00  1290306     0.00     0.00  std::__detail::_Hashtable_alloc<std::allocator<std::__detail::_Hash_node<BitPieceInfo, true> > >::_M_node_allocator()
  0.00      1.50     0.00  1290306     0.00     0.00  std::__detail::_Hashtable_ebo_helper<0, std::allocator<std::__detail::_Hash_node<BitPieceInfo, true> >, true>::_S_get(std::__detail::_Hashtable_ebo_helper<0, std::allocator<std::__detail::_Hash_node<BitPieceInfo, true> >, true>&)
  0.00      1.50     0.00  1278301     0.00     0.00  std::__detail::_Hashtable_base<BitPieceInfo, BitPieceInfo, std::__detail::_Identity, std::equal_to<BitPieceInfo>, std::hash<BitPieceInfo>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Hashtable_traits<true, true, true> >::_M_eq() const
  0.00      1.50     0.00  1278301     0.00     0.00  std::__detail::_Hashtable_base<BitPieceInfo, BitPieceInfo, std::__detail::_Identity, std::equal_to<BitPieceInfo>, std::hash<BitPieceInfo>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Hashtable_traits<true, true, true> >::_M_equals(BitPieceInfo const&, unsigned long, std::__detail::_Hash_node<BitPieceInfo, true>*) const
  0.00      1.50     0.00  1278301     0.00     0.00  std::__detail::_Equal_helper<BitPieceInfo, BitPieceInfo, std::__detail::_Identity, std::equal_to<BitPieceInfo>, unsigned long, true>::_S_equals(std::equal_to<BitPieceInfo> const&, std::__detail::_Identity const&, BitPieceInfo const&, unsigned long, std::__detail::_Hash_node<BitPieceInfo, true>*)
  0.00      1.50     0.00  1278301     0.00     0.00  std::__detail::_Hashtable_ebo_helper<0, std::equal_to<BitPieceInfo>, true>::_S_cget(std::__detail::_Hashtable_ebo_helper<0, std::equal_to<BitPieceInfo>, true> const&)
  0.00      1.50     0.00  1175884     0.00     0.00  std::_Hashtable<BitPieceInfo, BitPieceInfo, std::allocator<BitPieceInfo>, std::__detail::_Identity, std::equal_to<BitPieceInfo>, std::hash<BitPieceInfo>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<true, true, true> >::count(BitPieceInfo const&) const
  0.00      1.50     0.00  1175884     0.00     0.00  std::unordered_set<BitPieceInfo, std::hash<BitPieceInfo>, std::equal_to<BitPieceInfo>, std::allocator<BitPieceInfo> >::count(BitPieceInfo const&) const
  0.00      1.50     0.00  1087092     0.00     0.00  std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::operator[](unsigned long)
  0.00      1.50     0.00  1043621     0.00     0.00  BitPieceInfo::canRotate(RotateDirection) const
  0.00      1.50     0.00  1002892     0.00     0.00  __gnu_cxx::__normal_iterator<Coord const*, std::vector<Coord, std::allocator<Coord> > >::operator++()
  0.00      1.50     0.00  1002892     0.00     0.00  __gnu_cxx::__normal_iterator<Coord const*, std::vector<Coord, std::allocator<Coord> > >::operator*() const
  0.00      1.50     0.00   938335     0.00     0.00  std::__detail::_Hash_node_value_base<BitPieceInfo>::_M_v()
  0.00      1.50     0.00   923895     0.00     0.00  int const& std::max<int>(int const&, int const&)
  0.00      1.50     0.00   905745     0.00     0.00  BitPieceInfo& std::__detail::_Identity::operator()<BitPieceInfo&>(BitPieceInfo&) const
  0.00      1.50     0.00   905745     0.00     0.00  BitPieceInfo& std::forward<BitPieceInfo&>(std::remove_reference<BitPieceInfo&>::type&)
  0.00      1.50     0.00   900180     0.00     0.00  std::move_iterator<Coord*>::base() const
  0.00      1.50     0.00   900180     0.00     0.00  Coord&& std::forward<Coord>(std::remove_reference<Coord>::type&)
  0.00      1.50     0.00   893298     0.00     0.00  std::equal_to<BitPieceInfo>::operator()(BitPieceInfo const&, BitPieceInfo const&) const
  0.00      1.50     0.00   893298     0.00     0.00  operator==(BitPieceInfo const&, BitPieceInfo const&)
  0.00      1.50     0.00   871161     0.00     0.00  std::vector<Coord, std::allocator<Coord> >::size() const
  0.00      1.50     0.00   860268     0.00     0.00  bool __gnu_cxx::operator!=<RotateDirection*, std::vector<RotateDirection, std::allocator<RotateDirection> > >(__gnu_cxx::__normal_iterator<RotateDirection*, std::vector<RotateDirection, std::allocator<RotateDirection> > > const&, __gnu_cxx::__normal_iterator<RotateDirection*, std::vector<RotateDirection, std::allocator<RotateDirection> > > const&)
  0.00      1.50     0.00   860268     0.00     0.00  __gnu_cxx::__normal_iterator<MoveDirection*, std::vector<MoveDirection, std::allocator<MoveDirection> > >::operator*() const
  0.00      1.50     0.00   846721     0.00     0.00  __gnu_cxx::__normal_iterator<Coord*, std::vector<Coord, std::allocator<Coord> > >::__normal_iterator(Coord* const&)
  0.00      1.50     0.00   799798     0.00     0.00  Coord* std::__addressof<Coord>(Coord&)
  0.00      1.50     0.00   771416     0.00     0.00  std::vector<int, std::allocator<int> >::size() const
  0.00      1.50     0.00   709143     0.00     0.00  BitPieceInfo::move(MoveDirection) const
  0.00      1.50     0.00   675340     0.00     0.00  std::_Base_bitset<4ul>::_M_is_equal(std::_Base_bitset<4ul> const&) const
  0.00      1.50     0.00   675340     0.00     0.00  std::bitset<200ul>::operator==(std::bitset<200ul> const&) const
  0.00      1.50     0.00   649768     0.00     0.00  void std::_Construct<Coord, Coord const&>(Coord*, Coord const&)
  0.00      1.50     0.00   649768     0.00     0.00  Coord const& std::forward<Coord const&>(std::remove_reference<Coord const&>::type&)
  0.00      1.50     0.00   638706     0.00     0.00  bool&& std::forward<bool>(std::remove_reference<bool>::type&)
  0.00      1.50     0.00   635060     0.00     0.00  __gnu_cxx::new_allocator<BitPieceInfo>::~new_allocator()
  0.00      1.50     0.00   635060     0.00     0.00  std::allocator<BitPieceInfo>::~allocator()
  0.00      1.50     0.00   633883     0.00     0.00  __gnu_cxx::new_allocator<BitPieceInfo>::new_allocator()
  0.00      1.50     0.00   632706     0.00     0.00  std::allocator<BitPieceInfo>::allocator<std::__detail::_Hash_node<BitPieceInfo, true> >(std::allocator<std::__detail::_Hash_node<BitPieceInfo, true> > const&)
  0.00      1.50     0.00   632706     0.00     0.00  std::__detail::_Hash_node<BitPieceInfo, true>* std::__addressof<std::__detail::_Hash_node<BitPieceInfo, true> >(std::__detail::_Hash_node<BitPieceInfo, true>&)
  0.00      1.50     0.00   632706     0.00     0.00  std::__detail::_Node_iterator<BitPieceInfo, true, true>&& std::forward<std::__detail::_Node_iterator<BitPieceInfo, true, true> >(std::remove_reference<std::__detail::_Node_iterator<BitPieceInfo, true, true> >::type&)
  0.00      1.50     0.00   617845     0.00     0.00  void std::_Destroy_aux<true>::__destroy<Coord*>(Coord*, Coord*)
  0.00      1.50     0.00   617845     0.00     0.00  void std::_Destroy<Coord*>(Coord*, Coord*)
  0.00      1.50     0.00   617844     0.00     0.00  std::_Vector_base<Coord, std::allocator<Coord> >::_M_deallocate(Coord*, unsigned long)
  0.00      1.50     0.00   612532     0.00     0.00  __gnu_cxx::new_allocator<Coord>::max_size() const
  0.00      1.50     0.00   600120     0.00     0.00  std::move_iterator<Coord*>::move_iterator(Coord*)
  0.00      1.50     0.00   600120     0.00     0.00  std::move_iterator<Coord*> std::__make_move_if_noexcept_iterator<Coord, std::move_iterator<Coord*> >(Coord*)
  0.00      1.50     0.00   589334     0.00     0.00  __gnu_cxx::__normal_iterator<Coord const*, std::vector<Coord, std::allocator<Coord> > >::__normal_iterator(Coord const* const&)
  0.00      1.50     0.00   573512     0.00     0.00  __gnu_cxx::__normal_iterator<MoveDirection*, std::vector<MoveDirection, std::allocator<MoveDirection> > >::__normal_iterator(MoveDirection* const&)
  0.00      1.50     0.00   573512     0.00     0.00  __gnu_cxx::__normal_iterator<RotateDirection*, std::vector<RotateDirection, std::allocator<RotateDirection> > >::__normal_iterator(RotateDirection* const&)
  0.00      1.50     0.00   573512     0.00     0.00  __gnu_cxx::__normal_iterator<RotateDirection*, std::vector<RotateDirection, std::allocator<RotateDirection> > >::operator++()
  0.00      1.50     0.00   573512     0.00     0.00  __gnu_cxx::__normal_iterator<RotateDirection*, std::vector<RotateDirection, std::allocator<RotateDirection> > >::operator*() const
  0.00      1.50     0.00   554030     0.00     0.00  std::vector<double, std::allocator<double> >::operator[](unsigned long) const
  0.00      1.50     0.00   529580     0.00     0.00  __gnu_cxx::new_allocator<Coord>::~new_allocator()
  0.00      1.50     0.00   529580     0.00     0.00  std::allocator<Coord>::~allocator()
  0.00      1.50     0.00   528417     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long)
  0.00      1.50     0.00   490402     0.00     0.00  __gnu_cxx::__normal_iterator<Coord*, std::vector<Coord, std::allocator<Coord> > >::operator*() const
  0.00      1.50     0.00   476095     0.00     0.00  BitPieceInfo::rotate(RotateDirection) const
  0.00      1.50     0.00   450090     0.00     0.00  bool std::operator==<Coord*>(std::move_iterator<Coord*> const&, std::move_iterator<Coord*> const&)
  0.00      1.50     0.00   450090     0.00     0.00  bool std::operator!=<Coord*>(std::move_iterator<Coord*> const&, std::move_iterator<Coord*> const&)
  0.00      1.50     0.00   423360     0.00     0.00  std::vector<Coord, std::allocator<Coord> >::end()
  0.00      1.50     0.00   414829     0.00     0.00  std::_Vector_base<Coord, std::allocator<Coord> >::_M_get_Tp_allocator() const
  0.00      1.50     0.00   414804     0.00     0.00  std::_Vector_base<Coord, std::allocator<Coord> >::_Vector_impl::~_Vector_impl()
  0.00      1.50     0.00   414804     0.00     0.00  std::_Vector_base<Coord, std::allocator<Coord> >::~_Vector_base()
  0.00      1.50     0.00   404028     0.00     0.00  __gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> > const*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > >::base() const
  0.00      1.50     0.00   400000     0.00     0.00  Move* std::__addressof<Move>(Move&)
  0.00      1.50     0.00   366200     0.00     0.00  BlockType const& std::forward<BlockType const&>(std::remove_reference<BlockType const&>::type&)
